"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8320","730 TAMPINES ST 71",1.35670606456436,103.933499180009,105,"Tampines",1.34551530560119,103.938436971222,1361.56667377356
"8321","730 WOODLANDS CIRCLE",1.44250944568635,103.797703850444,113,"Admiralty",1.44058856161847,103.800990519771,423.674938360748
"8322","730 YISHUN ST 71",1.42723329945277,103.831527990025,145,"Yishun",1.42944308477331,103.835005047246,458.516944568395
"8323","731 CLEMENTI WEST ST 2",1.30440046544571,103.762746222568,167,"Clementi",1.31511625277378,103.765191452888,1223.52287651989
"8324","731 JURONG WEST ST 72",1.34547702861433,103.698587048618,56,"Pioneer",1.33758701106708,103.697321608474,889.531461617455
"8325","731 TAMPINES ST 71",1.35700670008105,103.934099343677,148,"Tampines",1.34551530560119,103.938436971222,1367.26755437384
"8326","731 WOODLANDS CIRCLE",1.44306473290752,103.797831449391,113,"Admiralty",1.44058856161847,103.800990519771,446.73430534727
"8327","731 YISHUN ST 72",1.42834858574606,103.831116272448,57,"Yishun",1.42944308477331,103.835005047246,449.585976733662
"8328","732 JURONG WEST ST 73",1.34584120322079,103.699605451431,103,"Pioneer",1.33758701106708,103.697321608474,953.357478579935
"8329","732 TAMPINES ST 71",1.35755873795717,103.934320421541,137,"Tampines",1.34551530560119,103.938436971222,1416.78191051066
"8330","732 WOODLANDS CIRCLE",1.44334742731535,103.798291752455,106,"Admiralty",1.44058856161847,103.800990519771,429.555833707343
"8331","732 YISHUN AVE 5",1.42903445415475,103.830336353437,36,"Yishun",1.42944308477331,103.835005047246,521.54245552453
"8332","733 JURONG WEST ST 73",1.34536778100039,103.700027619601,79,"Pioneer",1.33758701106708,103.697321608474,917.010909713466
"8333","733 TAMPINES ST 71",1.3578245820795,103.933874048097,132,"Tampines",1.34551530560119,103.938436971222,1461.32844028951
"8334","733 WOODLANDS CIRCLE",1.44372277083434,103.798771309055,82,"Admiralty",1.44058856161847,103.800990519771,427.458787155662
